End_Time,Region,Site,Sum_Volume,Avg_Volume
20250301000000,DCC1,282,1365,4.583333333333333
20250301000000,DCC1,377,280,11.0
20250301000000,DCC1,396,298,1.0434782608695652
20250301000000,DCC1,399,645,2.1666666666666665
20250301000000,DCC1,428,270,0.875
20250301000000,DCC1,468,434,5.5
20250301000000,DCC1,494,410,5.166666666666667
20250301000000,DCC1,507,215,0.6666666666666666
20250301000000,DCC1,550,224,1.875
20250301000000,DCC1,563,109,0.3333333333333333
20250301000000,DCC1,566,733,4.230769230769231
20250301000000,DCC1,571,322,1.0833333333333333
20250301000000,DCC1,580,0,0.0
20250301000000,DCC1,585,0,0.0
20250301000000,DCC1,593,0,0.0
20250301000000,DCC1,616,112,0.3333333333333333
20250301000000,DCC1,624,221,0.7083333333333334
20250301000000,DCC1,626,357,1.125
20250301000000,DCC1,632,92,1.2
20250301000000,DCC1,633,142,0.8333333333333334
20250301000000,DCC1,634,0,0.0
20250301000000,DCC1,635,0,0.0
20250301000000,DCC1,649,227,0.7083333333333334
20250301000000,DCC1,670,0,0.0
20250301000000,DCC1,715,0,0.0
20250301000000,DCC1,716,243,3.8
20250301000000,DCC1,785,265,0.875
20250301000000,DCC1,821,251,0.8333333333333334
20250301000000,DCC1,833,364,4.5
20250301000000,DCC1,848,723,2.4166666666666665
20250301000000,DCC1,851,0,0.0
20250301000000,DCC1,853,0,0.0
20250301000000,DCC1,860,242,0.625
20250301000000,DCC1,862,64,0.041666666666666664
20250301000000,DCC1,863,61,0.041666666666666664
20250301000000,DCC1,864,0,0.0
20250301000000,DCC1,865,267,0.75
20250301000000,DCC1,866,125,0.1935483870967742
20250301000000,DCC1,867,248,0.7083333333333334
20250301000000,DCC1,874,0,0.0
20250301000000,DCC1,878,220,0.6666666666666666
20250301000000,DCC1,898,302,0.9166666666666666
20250301000000,DCC1,899,402,1.25
20250301000000,DCC1,900,561,1.9166666666666667
20250301000000,DCC1,901,407,5.5
20250301000000,DCC1,909,527,1.7916666666666667
20250301000000,DCC1,913,206,1.0
20250301000000,DCC1,916,136,0.4166666666666667
20250301000000,DCC1,918,84,0.25
20250301000000,DCC1,934,252,6.666666666666667
20250301000000,DCC1,935,112,0.2916666666666667
20250301000000,DCC1,942,0,0.0
20250301000000,DCC1,949,66,1.0
20250301000000,DCC1,961,23,1.0
20250301000000,DCC1,965,254,0.46875
20250301000000,DCC1,983,256,0.75
20250301000000,DCC1,4010,646,2.0833333333333335
20250301000000,DCC1,4011,263,0.9130434782608695
20250301000000,DCC1,4012,264,0.875
20250301000000,DCC1,4013,647,4.545454545454546
20250301000000,DCC1,4014,836,4.266666666666667
20250301000000,DCC1,4015,674,5.777777777777778
20250301000000,DCC1,4020,892,5.833333333333333
20250301000000,DCC1,4025,99,1.75
20250301000000,DCC1,4029,515,4.222222222222222
20250301000000,DCC1,4030,518,3.6363636363636362
20250301000000,DCC1,4031,29,0.08333333333333333
20250301000000,DCC1,4035,632,1.9166666666666667
20250301000000,DCC1,4036,62,0.8
20250301000000,DCC1,4037,42,0.25
20250301000000,DCC1,4038,900,5.384615384615385
20250301000000,DCC1,4039,720,2.3333333333333335
20250301000000,DCC1,4040,242,1.0625
20250301000000,DCC1,4045,513,6.666666666666667
20250301000000,DCC1,4047,286,5.75
20250301000000,DCC1,4048,690,2.2916666666666665
20250301000000,DCC1,4049,107,1.4
20250301000000,DCC1,4050,106,1.75
20250301000000,DCC1,4051,642,8.5
20250301000000,DCC1,4052,371,1.2083333333333333
20250301000000,DCC1,4053,61,1.3333333333333333
20250301000000,DCC1,4054,587,4.6
20250301000000,DCC1,4055,467,4.375
20250301000000,DCC1,4056,822,5.909090909090909
20250301000000,DCC1,4057,454,3.090909090909091
20250301000000,DCC1,4058,664,7.428571428571429
20250301000000,DCC1,4059,2655,31.142857142857142
20250301000000,DCC1,4060,802,10.833333333333334
20250301000000,DCC1,4061,421,6.4
20250301000000,DCC1,4063,137,0.4583333333333333
20250301000000,DCC1,4064,757,2.375
20250301000000,DCC1,4065,904,2.9583333333333335
20250301000000,DCC1,4066,866,6.7
20250301000000,DCC1,4067,327,3.8333333333333335
20250301000000,DCC1,4068,144,0.4583333333333333
20250301000000,DCC1,4069,196,0.5833333333333334
20250301000000,DCC1,4070,321,1.0833333333333333
20250301000000,DCC1,4071,5654,14.375
20250301000000,DCC1,4072,215,0.46875
20250301000000,DCC1,4073,278,0.6956521739130435
20250301000000,DCC1,4074,105,2.0
20250301000000,DCC1,4075,534,1.125
20250301000000,DCC1,4076,196,0.5384615384615384
20250301000000,DCC1,4077,321,0.9583333333333334
20250301000000,DCC1,4079,58,0.1875
20250301000000,DCC1,4080,54,0.1875
20250301000000,DCC1,4081,201,0.9375
20250301000000,IRE,745,521,3.9
20250301000000,IRE,938,322,4.8
20250301000000,IRE,1124,1158,8.272727272727273
20250301000000,IRE,2057,446,4.857142857142857
20250301000000,IRE,4026,705,1.5
20250301000000,IRE,4027,312,2.4444444444444446
20250301000000,IRE,4028,155,1.8333333333333333
20250301000000,IRE,6001,1100,7.166666666666667
20250301000000,IRE,6002,1148,6.846153846153846
20250301000000,IRE,6003,930,4.5
20250301000000,IRE,6004,776,6.888888888888889
20250301000000,IRE,6005,1075,3.5
20250301000000,IRE,6006,803,5.7272727272727275
20250301000000,IRE,6007,674,5.777777777777778
20250301000000,IRE,6008,958,2.3125
20250301000000,IRE,6009,604,1.875
20250301000000,IRE,6010,641,3.6153846153846154
20250301000000,IRE,6011,919,2.9583333333333335
20250301000000,IRE,6013,147,2.2
20250301000000,IRE,6014,28,0.08333333333333333
20250301000000,IRE,6015,109,0.2916666666666667
20250301000000,IRE,6016,0,0.0
20250301000000,IRE,6017,640,7.142857142857143
20250301000000,IRE,6019,1018,8.2
20250301000000,IRE,6020,646,2.0833333333333335
20250301000000,IRE,6021,719,6.875
20250301000000,IRE,6022,767,2.5416666666666665
20250301000000,IRE,6023,734,2.3333333333333335
20250301000000,IRE,6024,681,3.3125
20250301000000,IRE,6025,764,4.214285714285714
20250301000000,IRE,6026,95,0.1875
20250301000000,IRE,6027,866,2.75
20250301000000,IRE,6028,504,1.5833333333333333
20250301000000,IRE,6029,825,1.875
20250301000000,IRE,6030,621,7.0
20250301000000,IRE,6031,553,1.7083333333333333
20250301000000,IRE,6032,725,1.78125
20250301000000,IRE,6033,336,3.4285714285714284
20250301000000,IRE,6034,251,0.625
20250301000000,IRE,6035,233,2.2857142857142856
20250301000000,IRE,6036,150,1.2857142857142858
20250301000000,IRE,6038,276,2.857142857142857
20250301000000,IRE,6039,352,2.6
20250301000000,IRE,6040,211,2.6666666666666665
20250301000000,IRE,6041,1046,5.642857142857143
20250301000000,IRE,6042,473,3.888888888888889
20250301000000,IRE,6043,393,1.3478260869565217
20250301000000,IRE,6044,439,2.6666666666666665
20250301000000,IRE,6045,415,1.2916666666666667
20250301000000,IRE,6046,337,0.9583333333333334
20250301000000,IRE,6047,378,1.125
20250301000000,IRE,6048,2007,6.625
20250301000000,IRE,6049,425,8.25
20250301000000,IRE,6051,143,0.3225806451612903
20250301000000,IRE,6052,356,1.1666666666666667
20250301000000,IRE,6053,212,3.0
20250301000000,IRE,6054,589,1.6071428571428572
20250301000000,IRE,6055,260,2.375
20250301000000,IRE,6056,439,3.2
20250301000000,IRE,6057,795,2.5
20250301000000,IRE,6058,167,2.4
20250301000000,IRE,6060,435,8.5
20250301000000,IRE,6061,262,4.0
20250301000000,IRE,6063,175,1.2
20250301000000,IRE,6064,73,0.38461538461538464
20250301000000,IRE,6065,398,2.5
20250301000000,IRE,6066,1030,3.25
20250301000000,IRE,6067,245,0.5833333333333334
20250301000000,IRE,6068,312,0.8333333333333334
20250301000000,IRE,6069,211,0.5
20250301000000,IRE,6070,207,0.5
20250301000000,IRE,6072,207,0.5
20250301000000,IRE,6073,125,2.5
20250301000000,IRE,6074,424,5.5
20250301000000,IRE,6075,522,3.3333333333333335
20250301000000,IRE,6076,387,5.0
20250301000000,IRE,6077,490,3.0
20250301000000,IRE,6082,438,6.8
20250301000000,IRE,6083,220,0.7083333333333334
20250301000000,IRE,6085,764,2.4166666666666665
20250301000000,IRE,6087,620,2.0
20250301000000,IRE,6088,1284,7.846153846153846
20250301000000,IRE,6089,346,4.166666666666667
20250301000000,IRE,6093,575,6.428571428571429
20250301000000,IRE,6094,502,1.09375
20250301000000,IRE,6095,322,4.0
20250301000000,IRE,6100,141,5.5
20250301000000,IRE,6101,388,1.2083333333333333
20250301000000,IRE,6102,388,1.0833333333333333
20250301000000,IRE,6103,457,3.6666666666666665
20250301000000,IRE,6104,408,2.25
20250301000000,IRE,6105,201,2.8
20250301000000,IRE,6109,944,10.857142857142858
20250301000000,IRE,6111,161,0.5
20250301000000,IRE,6116,240,4.5
20250301000000,IRE,6119,249,3.1666666666666665
20250301000000,IRE,6121,240,3.8
20250301000000,IRE,6126,324,3.5714285714285716
20250301000000,IRE,6128,241,3.0
20250301000000,IRE,6130,96,2.3333333333333335
20250301000000,IRE,6135,202,2.8
20250301000000,IRE,6138,196,2.3333333333333335
20250301000000,IRE,6141,380,1.2083333333333333
20250301000000,IRE,6144,919,2.9583333333333335
20250301000000,IRE,6146,309,1.0
20250301000000,IRE,6148,480,1.3333333333333333
20250301000000,IRE,6151,128,2.0
